,id,text,category
0,tam1,திருமலை நாயக்கர் பேரவை சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்,NOT
1,tam2,இந்த ட்ரெய்லர் கூட பார்க்கிற மாதிரி இல்லை.. இதை தியேட்டர் ல போய் பார்க்கனுமா.. .,OFF
2,tam3,மைசூரு செட்டியார் சமூகத்தின் சார்பாக இப்படம் வெற்றிபெற வாழ்த்துகிறேன்,NOT
3,tam4,மொத்த சாதியும் ஒரு சாதிக்கு எதிரா நிக்குது......  என்னா சமூகம் டா இது  தூ...........,OFF
4,tam5,only for விஜய் சேதுபதி and STR,NOT
5,tam6,உணமையாவே இது சைக்கோ படம் தான் ஒன்னுமே புரில,OFF
6,tam7,முத்தையா அண்ணனுக்கும் சாதி சாயம் பூசினார்கள் இப்பொழுது மோகன் அண்ணனுக்கும் சாதி சாயம் பூசி விடுவார்கள்,OFF
7,tam8,தமிழ்நாட்டில் மாற்று மொழி பேசும் அனைத்து மக்கள் சார்பில் படம் வெற்றி பெற வாத்துக்கள்..,NOT
8,tam9,எங்களுக்கு மண்ணு பொண்ணு இரண்டுமே முக்கியம் அதில் யாரு கையை வச்சாலும் கையை வெட்டுவோம்,OFF
9,tam10,படம் அழகாக இருக்குங்க  அத விட எதார்த்தமாயிருக்குங்க,NOT
10,tam11,", இந்த படம் மாபெரும் வெற்றி பெற்று தமிழ் சினிமாவில் ஆதிக்கம் செலுத்தும் ,,,இது போன்ற மேலும் பல படங்களை இயக்க வாழ்த்துக்கள்",NOT
11,tam12,"நாங்க இருக்கோம் மோகன்  அண்ணா ,கவலை படாதீங்க",NOT
12,tam13,தமிழக மக்கள் சார்பாக வாழ்த்துக்கள்... சாதிகள் இல்லையடி பாப்பா. சலுகைகள் நிறைய வேண்டுமடி  ((ஓட்டுக்காக)) பாப்பா..,NOT
13,tam14,"105 முறை பார்த்துவிட்டேன். கள்ளர்,  பிரமலைக்கள்ளன்.....",NOT
14,tam15,"சாதிதான் சமூகம் என்றால், வீசும் காற்றில் விஷம் பரவட்டும்.",NOT
15,tam16,தம்பி... நீங்க எல்லாம் YouTube-கு புதுசா?? எந்த video வ இருந்தாலும் மொதல்ல likes தான் update ஆகும் அதுக்கப்பறம் தான் views update ஆகும்...   puthusa jio sim vangi puthusa YouTube la pakravanga ellam konjam silent ah iruntha nalla irukum...,OFF
16,tam17,இளையராஜாவின் இசை படத்தின் பலம்..இயக்குநர்      மிஷ்கின் படைப்பு அருமை..வாழ்த்துகள்,NOT
17,tam18,திருவண்ணாமலை சத்திரியர்கள் சார்பாக வாழ்த்துக்கள்  செம,NOT
18,tam19,பாட்டாளி மக்கள் கட்சியின் விழுப்புரம் வடக்கு மாவட்டம் ஒலக்கூர் ஒன்றியம் மேற்கு சார்பாக திரைப்படத்தை வெற்றியடைய செய்வோம் என்பதை உறுதி அளிக்கிறோம்,NOT
19,tam20,காதுகளை உறுத்தாத இசை.. கண்களை உறுத்தாத படமாக்கல்... மனதை உறுத்தாத காதல்...   இப்படியும் ஒரு படமா.... தரமான படத்தை தர நினைத்த சூர்யா..    கவிதையாய் ஒரு காதல் படைத்த இயக்குநர் ஹலீமா...   வாழ்த்துகள் நண்பர்களே,NOT
20,tam21,வீர வன்னியர்கள் சார்பாக திரௌபதி படம் வெற்றியடைய வாழ்த்துகள் 🦁,NOT
21,tam22,அரசியல் அது ஒரு ராஜபோதை  உள்ள நுழைஞ்சவன் வெளில வரவேமுடியாது,NOT
22,tam23,#Surya  மிகவும் நன்றி விவசாயிகளுக்கு  சப்போட்டா நிறைய படம் பன்னிட்டு வருகிறாய் வாழ்த்துக்கள்,NOT
23,tam24,இயக்குனர் அவர்களுக்கு நாடாளும் நாடார் சமூகம் சார்பில் வாழ்த்துக்கள்,NOT
24,tam25,அண்ணா மீதி காஸ் குடுங்க நான் கிளம்பனும் டேய் இதுவே மீதி காஸ் தாண்டா,OFF
25,tam26,தீரன் சின்னமலை  Protection force சார்பில் இந்த படம் வெற்றி பெற வாழ்த்துகள்,NOT
26,tam27,நாடக காதல் ஒன்று இல்லை என் குலத்து பெண்னை இழிவுபடுத்த விருப்பமில்லை. ஆரிய சட்டப்படி பெண் இனமே தாழ்த்தட்டவல்தான். தாழ்தபட்ட சொல்லை ஒழிக்க வேண்டும். உண்மையில்  ஆரியனுக்கு எதிறாகதான் படம் எடுக்க வேண்டும். இது ஒரு அரசியல் நாடக சினிமா. இது திட்டமிட்ட அவதூறு. மனிதம் போற்றுவோம்.,NOT
27,tam28,பெண்களை எவ்வாறு இந்தக் கயவர்கள் ஏமாற்றுகிறார் என்று தெளிவாக எடுத்துரைக்கப் பட்டுள்ளது இந்த திரைப்படத்தை அனைவரும் தவறாமல் பார்க்க வேண்டும்,NOT
28,tam29,"நம்ம சதிகாரன் மட்டுமே பயிர்செய்து, நூல் நெய்து, ஆடை செய்தால் மட்டுமே நான் ஆடை அணிவேன் என்றால் எல்லோரும் அம்மணமாகத்தான் திரியணும் ...... இதற்கு நமக்கு சம்மதமா...... தலித்களை  எதிர்க்கும் போது இருக்கும் ஒற்றுமை மற்ற விஷயங்களுக்கு நாம் செய்தால் நாடு நல்லா இருக்கும்டா.......... நாடக காதல் என்று சொல்லி நம்ம பொண்ணுங்களை நாமே அசிங்கப்படுத்த வேண்டாம்......",NOT
29,tam30,தருமபுரி மாவட்ட தீரன் சின்னமலைகவுண்டர் பேரவை சார்பாக வாழ்த்துக்கள்,NOT
30,tam31,இந்த டிரைலரே  இவ்வளவு  Fun இருக்கேபடம் பார்த்தாஎவ்வளவு Fun boost இருக்கும்🤣 ..,NOT
31,tam32,கண்டிப்பா வெற்றி பெரும் இது எங்கள் படம்,NOT
32,tam33,சூர்யா அண்ணன் ஏப்போவும் நல்ல படதைதான் தயாரிக்கிறார்.  சூர்யா,NOT
33,tam34,வெற்றி பெறவாழ்த்துக்கள் ...  நம் வன்னிய மக்கள் ஆதரவுடன்,NOT
34,tam35,Trailer wow nu நினைக்கிறவங்க மட்டும் லைக் பண்ணுங்க.....,NOT
35,tam36,யாதவர்கள் சார்பில் படம் வெற்றியடைய வாழ்த்துகள் ...,NOT
36,tam37,Thala na massss.  By தளபதி ரசிகன்,NOT
37,tam38,ஜாதிகள் உள்ளதடி பாப்பா...  குல தாழ்ச்சி உயர்ச்சி சொல்லல் பாவம்..   பிறமலை கள்ளர் சமுதாயத்தின் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்,NOT
38,tam39,முந்தை விழுப்புரம் தற்போதய கள்ளக்குறிச்சி சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்,NOT
39,tam40,இந்த படத்தில் ஆதிக்கு மதன் பாபுவை அப்பாவாக போட்டு இருக்கலாம் சரியா இருந்திருக்கும்,NOT
40,tam41,"எந்த சாதியிலையும் செட்டியார் பெண்ணை காதலிப்போம் கவுண்டர் பெண்ணெ கட்டியணைப்போம்னு கோஷம் போடல, எந்த தலைவனும் சரக்கு மிடுக்கு, வயித்துல நம்ம சிசுனு உசுப்பேத்தல....  இப்போ இது பெரிய மேட்டர்ஆ ஆக காரணமே ரஞ்சித் இயக்கிய தயாரித்த படங்கள் தான்.",OFF
41,tam42,கதை இசை ஒளிப்பதிவு நல்லா இருக்கு. ஆனா எதோ ஒன்னு மிஸ்ஸிங்,OFF
42,tam43,இந்த சட்டம் என்னும் ஓர் கிழிந்த புத்தகத்தை  வைத்து கொண்டு சிலர் ஆடும் ஆட்டம் இருக்கே...,NOT
43,tam44,"வேளாளர் (  பிள்ளைமார் ,முதலியார் ,கவுண்டர்) சார்பாக வாழ்த்துக்கள்",NOT
44,tam45,மேலூர் தேவரினம்( கள்ளர்) சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்,NOT
45,tam46,சோழிய வெள்ளாளர் சமூகம் சார்பாக படம் வெற்றியடைய வாழ்த்துக்கள்,NOT
46,tam47,இப்படி ஒரு கதையதா எதிர்பாத்த வேற லெவல்,NOT
47,tam48,"தமிழ்நாட்டுல சத்ரியனுங்க எல்லாரும் ஒன்னு ஆகணும், அப்போ தான் மாமாவளவன் குரூப்பு அடங்கும், என்ன ஆட்டம் போட்டிங்க  டா டேய் !!\r \r சத்ரியனுங்க ஒன்னு கூடின நீங்கே காலி டா !   கவுண்டன், தேவர், நாடார் எல்லாரும் ஹிந்து மதத்தை  காக்கும்  தெய்வங்கள்  டா  !!!",NOT
48,tam49,சில்லுகருப்பட்டி ஆக என்ன தலைப்பு சூப்பர் இன்னும் நம் மண் வாசனை இருக்கு,NOT
49,tam50,தமிழ்நாடு பிரமணர் சங்கம் ஐயர் மற்றும் ஐயங்கர் சார்பாக வாழ்த்துக்கள்!!,NOT
